date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:20	298/298	---MCZ	200	added ('OK')	text/plain	etag:W/%221ee-gA0KVgVrLkF0Ox/DO1z0EKXs6oA%22	https://www.urbanoasispa.com/robots.txt		(from )
14:55:20	678210/678210	---MCZ	200	added ('OK')	text/html	etag:W/%2213fea251a492c6c2dea5c77bef523341%22	https://www.urbanoasispa.com/	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/index.html	(from )
14:55:21	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.urbanoasispa.com/)
14:55:21	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.urbanoasispa.com/)
14:55:21	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.urbanoasispa.com/)
14:55:22	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:22%20GMT	https://www.urbanoasispa.com/t	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/t.3.delayed	(from https://www.urbanoasispa.com/)
14:55:22	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:22%20GMT	https://www.urbanoasispa.com/e	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/e.4.delayed	(from https://www.urbanoasispa.com/)
14:55:23	674240/674240	---MCZ	200	added ('OK')	text/html	etag:W/%22135316c179c7a9af9dab008ef35e1ce2%22	https://www.urbanoasispa.com/about	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/about.html	(from https://www.urbanoasispa.com/)
14:55:23	630862/630862	---MCZ	200	added ('OK')	text/html	etag:W/%22cdf6bee408165f6bb5a8523d39ca1062%22	https://www.urbanoasispa.com/experience	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/experience.html	(from https://www.urbanoasispa.com/)
14:55:24	642916/642916	---MCZ	200	added ('OK')	text/html	etag:W/%22a1e1c420a2bd1914a736c4bb907ecd27%22	https://www.urbanoasispa.com/treatements	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/treatements.html	(from https://www.urbanoasispa.com/)
